Satellites, Paused, Filtered, Course, Latitude, Longitude, Altitude, Horz_Accuracy, Vert_Accuracy, Real Speed, Calculated Speed, Last_Distance, Total_Distance
7, false, true, 138.68042, 44.809368, 20.460994, 161.0, 7.52, 7.52, 1.81, 0.0, 0.0, 59.60618
8, false, false, 150.71594, 44.809331, 20.461017, 158.0, 7.27, 7.27, 0.93, 0.93, 4.4963207, 64.1025
8, false, false, 140.34485, 44.809324, 20.461028, 158.0, 7.27, 7.27, 1.62, 1.62, 1.1671966, 65.2697
7, false, false, 148.8208, 44.809315, 20.461036, 158.0, 7.27, 7.27, 1.06, 1.06, 1.1835628, 66.45326
7, false, false, 151.44104, 44.809307, 20.461042, 157.0, 7.27, 7.27, 0.62, 0.62, 1.0077969, 67.46106
7, false, false, 156.81885, 44.809296, 20.461049, 157.0, 7.05, 7.27, 1.06, 1.06, 1.3419865, 68.80305
7, false, false, 157.97241, 44.809283, 20.461059, 157.0, 7.05, 7.27, 1.12, 1.12, 1.6470771, 70.45013
7, false, true, 157.97241, 44.809283, 20.461059, 157.0, 7.05, 7.27, 1.12, 0.0, 0.0, 70.45013
7, false, false, 149.29321, 44.80926, 20.461091, 157.0, 6.8, 7.27, 0.62, 0.62, 3.597377, 74.0475
7, false, false, 153.3966, 44.80925, 20.4611, 157.0, 6.8, 7.27, 0.68, 0.68, 1.3197911, 75.367294
7, false, true, 153.3966, 44.80925, 20.4611, 157.0, 6.8, 7.27, 0.68, 0.0, 0.0, 75.367294
7, false, true, 153.3966, 44.80925, 20.4611, 157.0, 6.8, 7.27, 0.68, 0.0, 0.0, 75.367294
7, false, false, 170.9967, 44.809215, 20.461125, 157.0, 6.58, 7.05, 0.87, 0.87, 4.3634124, 79.730705
7, false, false, 173.13904, 44.809206, 20.461133, 157.0, 6.58, 7.05, 0.62, 0.62, 1.1835634, 80.91427
7, false, true, 182.34007, 44.809199, 20.461137, 157.0, 6.58, 7.05, 0.25, 0.0, 0.0, 80.91427
7, false, true, 182.34007, 44.809199, 20.461137, 157.0, 6.58, 7.05, 0.25, 0.0, 0.0, 80.91427
7, false, true, 182.34007, 44.809199, 20.461137, 157.0, 6.58, 7.05, 0.25, 0.0, 0.0, 80.91427
6, false, false, 151.75415, 44.809173, 20.461174, 156.0, 6.33, 7.05, 1.5, 1.5, 4.8957524, 85.81002
6, false, false, 150.90271, 44.809161, 20.461191, 156.0, 6.33, 7.05, 1.12, 1.12, 1.8939137, 87.70393
6, false, false, 163.48755, 44.809145, 20.461201, 156.0, 6.33, 7.05, 1.25, 1.25, 1.9460902, 89.650024
6, false, false, 179.46167, 44.80913, 20.461202, 156.0, 6.33, 7.05, 1.18, 1.18, 1.6687968, 91.318825
7, false, false, 197.97363, 44.809105, 20.461196, 156.0, 6.33, 7.05, 1.18, 1.18, 2.818456, 94.13728
7, false, false, 198.27576, 44.809086, 20.461191, 155.0, 6.33, 7.05, 1.68, 1.68, 2.1481624, 96.285446
7, false, false, 195.57312, 44.80907, 20.461192, 155.0, 6.11, 7.05, 1.25, 1.25, 1.7798077, 98.065254
8, false, false, 191.34888, 44.809058, 20.461194, 155.0, 6.11, 7.05, 0.75, 0.75, 1.3428895, 99.40814
9, false, false, 188.23975, 44.809052, 20.461199, 154.0, 6.11, 6.8, 0.87, 0.87, 0.77526313, 100.1834
9, false, false, 186.53687, 44.809043, 20.461204, 154.0, 6.11, 6.8, 0.87, 0.87, 1.0755267, 101.25893
9, false, false, 180.63171, 44.809031, 20.461212, 154.0, 5.86, 6.8, 1.06, 1.06, 1.4760892, 102.735016
9, false, false, 180.74707, 44.809018, 20.461218, 154.0, 5.86, 6.8, 1.18, 1.18, 1.5206407, 104.25565
8, false, false, 184.18579, 44.809007, 20.461221, 154.0, 5.86, 6.8, 1.0, 1.0, 1.2452332, 105.500885
8, false, false, 178.45642, 44.808998, 20.461227, 154.0, 5.86, 6.58, 0.81, 0.81, 1.1070671, 106.607956
7, false, false, 169.953, 44.808984, 20.461242, 154.0, 5.64, 6.58, 0.93, 0.93, 1.9566734, 108.56463
7, false, false, 176.38, 44.808975, 20.461246, 154.0, 5.64, 6.58, 0.93, 0.93, 1.0490162, 109.61365
7, false, false, 161.45508, 44.80896, 20.461263, 153.0, 5.64, 6.58, 1.18, 1.18, 2.141781, 111.75543
7, false, true, 161.45508, 44.80896, 20.461263, 153.0, 5.64, 6.58, 1.18, 0.0, 0.0, 111.75543
7, false, true, 161.45508, 44.80896, 20.461263, 153.0, 5.64, 6.58, 1.18, 0.0, 0.0, 111.75543
7, false, false, 147.16736, 44.808944, 20.46129, 153.0, 5.64, 6.58, 0.87, 0.87, 2.7791443, 114.53458
7, false, false, 148.14514, 44.808934, 20.461303, 153.0, 5.64, 6.58, 1.37, 1.37, 1.5141237, 116.0487
7, false, false, 154.80835, 44.808925, 20.461313, 153.0, 5.64, 6.58, 1.0, 1.0, 1.2751938, 117.32389
7, false, true, 154.80835, 44.808925, 20.461313, 153.0, 5.64, 6.58, 1.0, 0.0, 0.0, 117.32389
7, false, true, 154.80835, 44.808925, 20.461313, 153.0, 5.64, 6.58, 1.0, 0.0, 0.0, 117.32389
8, false, false, 168.11829, 44.808892, 20.461332, 153.0, 5.64, 6.33, 1.43, 1.43, 3.9632986, 121.287186
8, false, false, 173.6499, 44.80888, 20.461342, 153.0, 5.64, 6.33, 1.0, 1.0, 1.5505273, 122.837715
8, false, false, 173.19946, 44.808869, 20.461351, 153.0, 5.64, 6.33, 0.87, 0.87, 1.4146354, 124.25235
8, false, true, 173.19946, 44.808869, 20.461351, 153.0, 5.64, 6.33, 0.87, 0.0, 0.0, 124.25235
7, false, false, 193.35938, 44.808837, 20.46137, 153.0, 5.64, 6.33, 1.75, 1.75, 3.8607028, 128.11305
7, false, false, 208.99841, 44.808826, 20.461354, 153.0, 5.64, 6.33, 2.25, 2.25, 1.7596515, 129.87271
7, false, false, 220.05617, 44.808815, 20.461342, 154.0, 5.64, 6.33, 1.75, 1.75, 1.5477271, 131.42044
7, false, false, 209.69604, 44.808803, 20.461342, 154.0, 5.39, 6.33, 0.87, 0.87, 1.3335365, 132.75398
7, false, true, 209.69604, 44.808803, 20.461342, 154.0, 5.39, 6.33, 0.87, 0.0, 0.0, 132.75398
7, false, true, 209.69604, 44.808803, 20.461342, 154.0, 5.39, 6.33, 0.87, 0.0, 0.0, 132.75398
7, false, false, 163.21289, 44.808767, 20.461387, 154.0, 5.39, 6.33, 1.25, 1.25, 5.355155, 138.10913
7, false, false, 155.78613, 44.808752, 20.461409, 154.0, 5.39, 6.33, 1.75, 1.75, 2.409893, 140.51903
7, false, false, 147.27173, 44.808737, 20.461433, 154.0, 5.39, 6.33, 1.81, 1.81, 2.5265272, 143.04555
7, false, false, 144.08018, 44.808724, 20.461456, 154.0, 5.39, 6.33, 1.62, 1.62, 2.3232818, 145.36884
8, false, false, 144.3164, 44.808705, 20.461492, 154.0, 5.39, 6.33, 1.06, 1.06, 3.5452456, 148.91408
8, false, false, 148.39783, 44.808698, 20.461505, 154.0, 5.39, 6.11, 0.75, 0.75, 1.2894796, 150.20355
7, false, false, 156.22559, 44.808691, 20.461511, 153.0, 5.39, 6.11, 0.62, 0.62, 0.9112726, 151.11482
7, false, false, 184.86694, 44.808687, 20.461507, 153.0, 5.64, 6.11, 0.62, 0.62, 0.54563934, 151.66046
7, false, true, 231.04797, 44.808689, 20.461502, 153.0, 5.64, 6.11, 0.62, 0.0, 0.0, 151.66046
8, false, true, 193.11218, 44.80869, 20.461507, 153.0, 5.64, 6.11, 0.12, 0.0, 0.0, 151.66046
8, false, true, 164.11926, 44.808691, 20.461514, 153.0, 5.64, 6.11, 0.12, 0.0, 0.0, 151.66046
8, false, true, 203.17566, 44.808692, 20.461514, 153.0, 5.64, 6.11, 0.31, 0.0, 0.0, 151.66046
8, false, true, 238.77136, 44.808693, 20.461513, 153.0, 5.64, 6.11, 0.18, 0.0, 0.0, 151.66046
8, false, true, 193.72742, 44.808693, 20.461517, 153.0, 5.64, 6.11, 0.25, 0.0, 0.0, 151.66046
8, false, true, 238.55164, 44.808694, 20.46152, 152.0, 5.64, 6.11, 0.06, 0.0, 0.0, 151.66046
8, false, false, 188.52539, 44.808687, 20.461529, 152.0, 5.64, 6.11, 0.68, 0.68, 1.7403932, 153.40085
8, false, false, 169.99695, 44.808682, 20.46154, 152.0, 5.64, 6.11, 0.56, 0.56, 1.0324621, 154.4333
8, false, false, 140.32288, 44.808681, 20.461552, 152.0, 5.64, 6.11, 0.81, 0.81, 0.9557878, 155.3891
8, false, false, 107.940674, 44.808685, 20.461559, 152.0, 5.64, 6.11, 0.68, 0.68, 0.7101006, 156.0992
8, false, true, 139.08691, 44.808683, 20.461557, 152.0, 5.64, 6.11, 0.43, 0.0, 0.0, 156.0992
7, false, false, 164.8169, 44.808679, 20.46155, 152.0, 5.64, 6.11, 0.81, 0.81, 0.9754456, 157.07465
7, false, false, 191.64001, 44.808677, 20.461542, 152.0, 5.64, 6.11, 0.5, 0.5, 0.6707628, 157.7454
7, false, true, 221.92383, 44.808676, 20.461533, 152.0, 5.64, 6.11, 0.43, 0.0, 0.0, 157.7454
