Satellites, Paused, Filtered, Course, Latitude, Longitude, Altitude, Horz_Accuracy, Vert_Accuracy, Real Speed, Calculated Speed, Last_Distance, Total_Distance
7, false, false, 312.39075, 44.809183, 20.461049, 170.0, 5.86, 6.11, 0.62, 0.62, 2.9230874, 55.701164
7, false, true, 324.05273, 44.809189, 20.461042, 170.0, 5.86, 6.11, 0.43, 0.0, 0.0, 55.701164
7, false, false, 329.60632, 44.809196, 20.461035, 169.0, 5.86, 6.11, 0.75, 0.75, 1.8203411, 57.521507
7, false, true, 338.67004, 44.809202, 20.46103, 169.0, 5.86, 6.11, 0.31, 0.0, 0.0, 57.521507
7, false, true, 327.464, 44.809207, 20.461021, 169.0, 5.86, 6.11, 0.31, 0.0, 0.0, 57.521507
7, false, true, 338.71948, 44.809215, 20.461014, 169.0, 5.86, 6.11, 0.43, 0.0, 0.0, 57.521507
7, false, false, 348.1897, 44.809224, 20.461009, 169.0, 5.64, 6.11, 0.56, 0.56, 3.729937, 61.251446
7, false, true, 346.14075, 44.809239, 20.460997, 170.0, 5.64, 6.11, 0.18, 0.0, 0.0, 61.251446
7, false, false, 358.2312, 44.80925, 20.460993, 170.0, 5.64, 5.86, 0.93, 0.93, 3.1544085, 64.40585
7, false, true, 342.92175, 44.809258, 20.460986, 170.0, 5.64, 5.86, 0.37, 0.0, 0.0, 64.40585
7, false, true, 319.88342, 44.809263, 20.460975, 170.0, 5.64, 5.86, 0.37, 0.0, 0.0, 64.40585
7, false, true, 291.47278, 44.809266, 20.460964, 170.0, 5.64, 5.86, 0.37, 0.0, 0.0, 64.40585
7, false, true, 294.73026, 44.809271, 20.460953, 170.0, 5.64, 5.86, 0.43, 0.0, 0.0, 64.40585
7, false, false, 306.26038, 44.80928, 20.460943, 170.0, 5.64, 5.86, 0.68, 0.68, 5.1729765, 69.57883
7, false, false, 320.74036, 44.809292, 20.460936, 170.0, 5.64, 5.86, 0.93, 0.93, 1.4439409, 71.022766
7, false, false, 335.51147, 44.809302, 20.460932, 170.0, 5.64, 5.86, 0.75, 0.75, 1.1554538, 72.17822
8, false, false, 328.62854, 44.80932, 20.46091, 170.0, 5.64, 5.86, 0.93, 0.93, 2.651438, 74.82966
8, false, true, 329.64478, 44.809328, 20.460899, 170.0, 5.64, 5.86, 0.31, 0.0, 0.0, 74.82966
8, false, false, 328.34286, 44.809349, 20.460897, 171.0, 5.39, 5.86, 0.56, 0.56, 3.3828235, 78.21248
8, false, false, 334.16016, 44.809366, 20.460894, 171.0, 5.39, 5.86, 0.75, 0.75, 1.9040252, 80.1165
8, false, false, 335.4126, 44.80938, 20.460892, 172.0, 5.17, 5.86, 0.5, 0.5, 1.5638169, 81.68032
8, false, true, 335.42908, 44.809395, 20.460888, 172.0, 5.17, 5.86, 0.31, 0.0, 0.0, 81.68032
8, false, true, 323.80005, 44.80941, 20.460885, 173.0, 5.17, 5.64, 0.37, 0.0, 0.0, 81.68032
8, false, true, 311.59424, 44.809422, 20.46088, 173.0, 5.17, 5.64, 0.31, 0.0, 0.0, 81.68032
8, false, true, 301.734, 44.809441, 20.460869, 174.0, 4.92, 5.64, 0.18, 0.0, 0.0, 81.68032
8, false, true, 300.34424, 44.809451, 20.460865, 174.0, 4.92, 5.64, 0.12, 0.0, 0.0, 81.68032
8, false, true, 312.97852, 44.809461, 20.460861, 175.0, 4.92, 5.64, 0.31, 0.0, 0.0, 81.68032
8, false, true, 324.4922, 44.80947, 20.460858, 175.0, 4.7, 5.64, 0.18, 0.0, 0.0, 81.68032
8, false, false, 326.96408, 44.809479, 20.460852, 175.0, 4.7, 5.64, 0.62, 0.62, 11.447697, 93.12802
7, false, true, 325.5304, 44.809486, 20.460846, 176.0, 4.7, 5.64, 0.25, 0.0, 0.0, 93.12802
7, false, true, 325.5304, 44.809486, 20.460846, 176.0, 4.7, 5.64, 0.25, 0.0, 0.0, 93.12802
8, false, false, 324.88766, 44.809502, 20.46083, 176.0, 4.7, 5.39, 0.56, 0.56, 3.0922065, 96.22023
8, false, false, 326.36536, 44.809514, 20.460821, 176.0, 4.7, 5.39, 0.87, 0.87, 1.5116943, 97.731926
8, false, false, 334.39636, 44.809527, 20.460815, 176.0, 4.7, 5.39, 0.81, 0.81, 1.5206397, 99.25256
8, false, true, 325.21176, 44.809534, 20.460807, 176.0, 4.7, 5.39, 0.43, 0.0, 0.0, 99.25256
8, false, true, 321.80054, 44.809538, 20.460796, 176.0, 4.7, 5.39, 0.43, 0.0, 0.0, 99.25256
8, false, true, 316.34583, 44.809543, 20.460787, 176.0, 4.7, 5.39, 0.31, 0.0, 0.0, 99.25256
8, false, false, 311.11633, 44.809558, 20.460762, 175.0, 4.45, 5.39, 0.81, 0.81, 5.4264703, 104.67903
8, false, false, 315.0055, 44.809572, 20.460748, 175.0, 4.45, 5.39, 1.06, 1.06, 1.909728, 106.58876
8, false, false, 319.37256, 44.809589, 20.460735, 175.0, 4.45, 5.39, 1.12, 1.12, 2.1509516, 108.739716
8, false, false, 322.67395, 44.809604, 20.460725, 176.0, 4.45, 5.39, 1.0, 1.0, 1.8451085, 110.58482
8, false, false, 327.61227, 44.809619, 20.460718, 176.0, 4.45, 5.39, 0.87, 0.87, 1.7564929, 112.34132
8, false, false, 328.4198, 44.809631, 20.460713, 176.0, 4.45, 5.39, 0.75, 0.75, 1.3909601, 113.73228
8, false, false, 325.79956, 44.809643, 20.460706, 176.0, 4.45, 5.39, 0.93, 0.93, 1.4439397, 115.176216
8, false, false, 324.3219, 44.809655, 20.460694, 176.0, 4.45, 5.39, 1.12, 1.12, 1.636909, 116.813126
8, false, false, 328.255, 44.809683, 20.460669, 176.0, 4.23, 5.17, 0.93, 0.93, 3.6868966, 120.50002
8, false, false, 328.48572, 44.809694, 20.460659, 177.0, 4.23, 5.17, 0.75, 0.75, 1.4560499, 121.95607
8, false, false, 335.3302, 44.809704, 20.46065, 177.0, 4.23, 5.17, 0.56, 0.56, 1.3197882, 123.275856
8, false, false, 339.94995, 44.809715, 20.460643, 177.0, 4.23, 5.17, 0.75, 0.75, 1.3419851, 124.61784
8, false, false, 336.6925, 44.809729, 20.460635, 177.0, 4.23, 5.17, 0.93, 0.93, 1.6795838, 126.297424
8, false, false, 342.19116, 44.809741, 20.460629, 178.0, 4.23, 5.17, 0.62, 0.62, 1.4154884, 127.71291
8, false, false, 344.6411, 44.809755, 20.460625, 178.0, 4.23, 5.17, 0.81, 0.81, 1.5876456, 129.30055
8, false, false, 337.53296, 44.809766, 20.46062, 178.0, 4.23, 5.17, 0.75, 0.75, 1.2848082, 130.58536
8, false, true, 346.23413, 44.809779, 20.460614, 179.0, 4.45, 5.17, 0.18, 0.0, 0.0, 130.58536
8, false, true, 336.3629, 44.809788, 20.460608, 179.0, 4.45, 5.17, 0.31, 0.0, 0.0, 130.58536
8, false, true, 327.39807, 44.809796, 20.460599, 179.0, 4.45, 5.17, 0.25, 0.0, 0.0, 130.58536
